OK------>curAddr at 0x487A60
OK------>MountTypeXCapability = 0x2d20ec0
OK------>SpellVisualMissile = 0x2d210b0
OK------>SpellAuraVisibility = 0x2d212a0
OK------>GarrAbility = 0x2d21490
OK------>QuestMoneyReward = 0x2d21680
OK------>AzeritePower = 0x2d21870
OK------>ItemRangedDisplayInfo = 0x2d21a60
OK------>MountXDisplay = 0x2d21c50
OK------>UiPartyPose = 0x2d21e40
OK------>CreatureMovementInfo = 0x2d22030
OK------>QuestPackageItem = 0x2d22220
OK------>SpellAuraVisXChrSpec = 0x2d22410
OK------>ChrClassTitle = 0x2d22600
OK------>AzeritePowerSetMember = 0x2d227f0
OK------>Movie = 0x2d229e0
OK------>GarrAbilityEffect = 0x2d22bd0
OK------>ItemSet = 0x2d22dc0
OK------>CreatureSpellData = 0x2d22fb0
OK------>SpellCategories = 0x2d231a0
OK------>GroupFinderActivityGrp = 0x2d23390
OK------>ChrClassUIDisplay = 0x2d23580
OK------>UiTextureAtlasElement = 0x2d23770
OK------>QuestSort = 0x2d23960
OK------>Achievement = 0x2d23b50
OK------>MovieFileData = 0x2d23d40
OK------>UiTextureAtlasMember = 0x2d23f30
OK------>GroupFinderCategory = 0x2d24120
OK------>CreatureSoundData = 0x2d24310
OK------>ItemSetSpell = 0x2d24500
OK------>QuestV2CliTask = 0x2d246f0
OK------>AzeriteTierUnlock = 0x2d248e0
OK------>ChrClassVillain = 0x2d24ad0
OK------>MovieVariation = 0x2d24cc0
OK------>UiTextureAtlas = 0x2d24eb0
OK------>SpellCategory = 0x2d250a0
OK------>GarrBuilding = 0x2d25290
OK------>BannedAddons = 0x2d25480
OK------>ItemSpec = 0x2d25670
OK------>UiTextureKit = 0x2d25860
OK------>MultiStateProperties = 0x2d25a50
OK------>UiWidgetConstantSource = 0x2d25c40
OK------>BankBagSlotPrices = 0x2d25e30
OK------>SpellCastingRequirements = 0x2d26020
OK------>Achievement_Category = 0x2d26210
OK------>ItemSpecOverride = 0x2d26400
OK------>UiWidgetDataSource = 0x2d265f0
OK------>BarberShopStyle = 0x2d267e0
OK------>MultiTransitionProperties = 0x2d269d0
OK------>ItemSubClass = 0x2d26bc0
OK------>AdventureJournal = 0x2d26db0
OK------>SpellCastTimes = 0x2d26fa0
OK------>UiWidget = 0x2d27190
OK------>QuestV2 = 0x2d27380
OK------>GuildPerkSpells = 0x2d27570
OK------>BattlemasterList = 0x2d27760
OK------>GarrBuildingDoodadSet = 0x2d27950
OK------>QuestXGroupActivity = 0x2d27b40
OK------>SpellClassOptions = 0x2d27d30
OK------>MythicPlusSeasonRewardLevels = 0x2d27f20
OK------>SpellVisualEvent = 0x2d28110
OK------>UiWidgetStringSource = 0x2d28300
OK------>ItemSubClassMask = 0x2d284f0
OK------>QuestXP = 0x2d286e0
OK------>MythicPlusSeasonTrackedMap = 0x2d288d0
OK------>GarrClassSpec = 0x2d28ac0
OK------>UiWidgetVisualization = 0x2d28cb0
OK------>SpellCooldowns = 0x2d28ea0
OK------>CreatureSoundFidget = 0x2d29090
OK------>ItemVisuals = 0x2d29280
OK------>RandPropPoints = 0x2d29470
OK------>NameGen = 0x2d29660
OK------>SpellXDescriptionVariables = 0x2d29850
OK------>BattlePetAbility = 0x2d29a40
OK------>CreatureType = 0x2d29c30
OK------>SpellDescriptionVariables = 0x2d29e20
OK------>GarrClassSpecPlayerCond = 0x2d2a010
OK------>UIScriptedAnimationEffect = 0x2d2a200
OK------>AlliedRace = 0x2d2a3f0
OK------>SpellXSpellVisual = 0x2d2a5e0
OK------>RelicSlotTierRequirement = 0x2d2a7d0
OK------>CreatureXContribution = 0x2d2a9c0
OK------>SpellDispelType = 0x2d2abb0
OK------>Heirloom = 0x2d2ada0
OK------>BattlePetAbilityEffect = 0x2d2af90
OK------>GarrEncounter = 0x2d2b180
OK------>CreatureXDisplayInfo = 0x2d2b370
OK------>ItemXBonusTree = 0x2d2b560
OK------>SpellDuration = 0x2d2b750
OK------>RelicTalent = 0x2d2b940
OK------>AnimaCable = 0x2d2bb30
OK------>JournalEncounter = 0x2d2bd20
OK------>ArenaCcItem = 0x2d2bf10
OK------>SpellEffect = 0x2d2c100
OK------>Criteria = 0x2d2c2f0
OK------>BattlePetAbilityState = 0x2d2c4e0
OK------>Stationery = 0x2d2c6d0
OK------>ResearchBranch = 0x2d2c8c0
OK------>GarrEncounterSetXEncounter = 0x2d2cab0
OK------>AoiBox = 0x2d2cca0
OK------>NPCSounds = 0x2d2ce90
OK------>BattlePetAbilityTurn = 0x2d2d080
OK------>GarrEncounterXMechanic = 0x2d2d270
OK------>JournalEncounterCreature = 0x2d2d460
OK------>SummonProperties = 0x2d2d650
OK------>NumTalentsAtLevel = 0x2d2d840
OK------>ResearchField = 0x2d2da30
OK------>AlliedRaceRacialAbility = 0x2d2dc20
OK------>UnitBlood = 0x2d2de10
OK------>GarrFollItemSetMember = 0x2d2e000
OK------>CriteriaTree = 0x2d2e1f0
OK------>HighlightColor = 0x2d2e3e0
OK------>ResearchProject = 0x2d2e5d0
OK------>BattlePetBreedQuality = 0x2d2e7c0
OK------>ItemUpgrade = 0x2d2e9b0
OK------>ObjectEffect = 0x2d2eba0
OK------>UnitBloodLevels = 0x2d2ed90
OK------>JournalEncounterItem = 0x2d2ef80
OK------>TactKey = 0x2d2f170
OK------>GarrFollSupportSpell = 0x2d2f360
OK------>BattlePetBreedState = 0x2d2f550
OK------>CriteriaTreeXEffect = 0x2d2f740
OK------>TactKeyLookup = 0x2d2f930
OK------>UnitCondition = 0x2d2fb20
OK------>Holidays = 0x2d2fd10
OK------>PetLoyalty = 0x2d2ff00
OK------>ResearchSite = 0x2d300f0
OK------>TalentTab = 0x2d302e0
OK------>GarrFollower = 0x2d304d0
OK------>ObjectEffectModifier = 0x2d306c0
OK------>CurrencyCategory = 0x2d308b0
OK------>BattlePetDisplayOverride = 0x2d30aa0
OK------>JournalEncounterSection = 0x2d30c90
OK------>PetPersonality = 0x2d30e80
OK------>SpellEffectAutoDescription = 0x2d31070
OK------>ObjectEffectPackageElem = 0x2d31260
OK------>AnimaCylinder = 0x2d31450
OK------>UnitPowerBar = 0x2d31640
OK------>CurrencyContainer = 0x2d31830
OK------>Resistances = 0x2d31a20
OK------>BattlePetEffectProperties = 0x2d31c10
OK------>Talent = 0x2d31e00
OK------>RulesetItemUpgrade = 0x2d31ff0
OK------>OutlineEffect = 0x2d321e0
OK------>RewardPack = 0x2d323d0
OK------>SpellEffectEmission = 0x2d325c0
OK------>AnimaMaterial = 0x2d327b0
OK------>BattlePetNPCTeamMember = 0x2d329a0
OK------>HolidayDescriptions = 0x2d32b90
OK------>CurrencyTypes = 0x2d32d80
OK------>SpellCraftUI = 0x2d32f70
OK------>BattlePetSpecies = 0x2d33160
OK------>HolidayNames = 0x2d33350
OK------>JournalEncounterXDifficulty = 0x2d33540
OK------>OverrideSpellData = 0x2d33730
OK------>Vehicle = 0x2d33920
OK------>StableSlotPrices = 0x2d33b10
OK------>ImportPriceArmor = 0x2d33d00
OK------>RewardPackXCurrencyType = 0x2d33ef0
OK------>SpellEquippedItems = 0x2d340e0
OK------>JournalEncounterXMapLoc = 0x2d342d0
OK------>ChrUpgradeBucket = 0x2d344c0
OK------>TaxiNodes = 0x2d346b0
OK------>PageTextMaterial = 0x2d348a0
OK------>RewardPackXItem = 0x2d34a90
OK------>ImportPriceQuality = 0x2d34c80
OK------>SpellFlyout = 0x2d34e70
OK------>PaperDollItemFrame = 0x2d35060
OK------>DeathThudLookups = 0x2d35250
OK------>GarrFollowerLevelXP = 0x2d35440
OK------>BattlePetSpeciesState = 0x2d35630
OK------>ChrUpgradeBucketSpell = 0x2d35820
OK------>JournalInstance = 0x2d35a10
OK------>ScheduledInterval = 0x2d35c00
OK------>ImportPriceShield = 0x2d35df0
OK------>ChrUpgradeTier = 0x2d35fe0
OK------>ParagonReputation = 0x2d361d0
OK------>BattlePetSpeciesXAbility = 0x2d363c0
OK------>SpellFlyoutItem = 0x2d365b0
OK------>DecalProperties = 0x2d367a0
OK------>GarrFollowerQuality = 0x2d36990
OK------>ImportPriceWeapon = 0x2d36b80
OK------>VehicleSeat = 0x2d36d70
OK------>CinematicCamera = 0x2d36f60
OK------>SpellFocusObject = 0x2d37150
OK------>SoundAmbienceFlavor = 0x2d37340
OK------>BattlePetState = 0x2d37530
OK------>InvasionClientData = 0x2d37720
OK------>JournalItemXDifficulty = 0x2d37910
OK------>SpellInterrupts = 0x2d37b00
OK------>AnimKitBoneSet = 0x2d37cf0
OK------>SoundAmbience = 0x2d37ee0
OK------>GarrFollowerSetXFollower = 0x2d380d0
OK------>JournalSectionXDifficulty = 0x2d382c0
OK------>BattlePetVisual = 0x2d384b0
OK------>CinematicSequences = 0x2d386a0
OK------>Particulate = 0x2d38890
OK------>GarrFollowerType = 0x2d38a80
OK------>JournalTier = 0x2d38c70
OK------>AnimKitBoneSetAlias = 0x2d38e60
OK------>SpellItemEnchantment = 0x2d39050
OK------>ClientSceneEffect = 0x2d39240
OK------>Path = 0x2d39430
OK------>JournalTierXInstance = 0x2d39620
OK------>DeclinedWordCases = 0x2d39810
OK------>SpamMessages = 0x2d39a00
OK------>TerrainTypeSounds = 0x2d39bf0
OK------>AnimKitConfig = 0x2d39de0
OK------>CloneEffect = 0x2d39fd0
OK------>SpellItemEnchantmentCondition = 0x2d3a1c0
OK------>ScalingStatDistribution = 0x2d3a3b0
OK------>DeclinedWord = 0x2d3a5a0
OK------>Keychain = 0x2d3a790
OK------>GarrFollowerUICreature = 0x2d3a980
OK------>AnimKitConfigBoneSet = 0x2d3ab70
OK------>PathNode = 0x2d3ad60
OK------>Languages = 0x2d3af50
OK------>DestructibleModelData = 0x2d3b140
OK------>TierTransition = 0x2d3b330
OK------>AnimKitPriority = 0x2d3b520
OK------>CombatCondition = 0x2d3b710
OK------>SpellKeyboundOverride = 0x2d3b900
OK------>ScalingStatValues = 0x2d3baf0
OK------>BonusRoll = 0x2d3bce0
OK------>GarrFollowerXAbility = 0x2d3bed0
OK------>PathNodeProperty = 0x2d3c0c0
OK------>LanguageWords = 0x2d3c2b0
OK------>AnimKit = 0x2d3c4a0
OK------>TotemCategory = 0x2d3c690
OK------>SpellLabel = 0x2d3c880
OK------>GarrItemLevelUpgradeData = 0x2d3ca70
OK------>LFGDungeonGroup = 0x2d3cc60
OK------>Bounty = 0x2d3ce50
OK------>AnimKitReplacement = 0x2d3d3d0
OK------>PathProperty = 0x2d3d5c0
OK------>Toy = 0x2d3d7b0
OK------>SpellLearnSpell = 0x2d3d9a0
OK------>LFGDungeons = 0x2d3db90
OK------>CommunityIcon = 0x2d3dd80
OK------>BountySet = 0x2d3df70
OK------>GarrMechanic = 0x2d3e160
OK------>AnimKitSegment = 0x2d3e350
OK------>Phase = 0x2d3e540
OK------>SpellLevels = 0x2d3e730
OK------>TradeSkillCategory = 0x2d3e920
OK------>GarrMechanicSetXMechanic = 0x2d3eb10
OK------>PhaseShiftZoneSounds = 0x2d3ed00
OK------>Scenario = 0x2d3eef0
OK------>BroadcastText = 0x2d3f0e0
OK------>SpellMechanic = 0x2d3f2d0
OK------>VehicleUIIndicator = 0x2d3f4c0
OK------>GarrMechanicType = 0x2d3f6b0
OK------>SpellMisc = 0x2d3f8a0
OK------>ScenarioEventEntry = 0x2d3fa90
OK------>VehicleUIIndSeat = 0x2d3fc80
OK------>ItemAppearanceXUiCamera = 0x2d3fe70
OK------>TransmogHoliday = 0x2d40060
OK------>GarrMission = 0x2d40250
OK------>ScenarioStep = 0x2d40440
OK------>AnimReplacement = 0x2d40630
OK------>PhaseXPhaseGroup = 0x2d40820
OK------>Vignette = 0x2d40a10
OK------>ItemArmorQuality = 0x2d40c00
OK------>CameraEffect = 0x2d40df0
OK------>TransmogSet = 0x2d40fe0
OK------>ItemArmorShield = 0x2d411d0
OK------>AnimReplacementSet = 0x2d413c0
OK------>CameraEffectEntry = 0x2d415b0
OK------>SpellMissileMotion = 0x2d417a0
OK------>LfgDungeonsGroupingMap = 0x2d41990
OK------>ItemArmorTotal = 0x2d41b80
OK------>SceneScriptPackage = 0x2d41d70
OK------>AdventureMapPOI = 0x2d41f60
OK------>VocalUISounds = 0x2d42150
OK------>SpellMissile = 0x2d42340
OK------>TransmogSetGroup = 0x2d42530
OK------>SceneScriptPackageMember = 0x2d42720
OK------>LFGRoleRequirement = 0x2d42910
OK------>DungeonEncounter = 0x2d42b00
OK------>TransmogSetItem = 0x2d42cf0
OK------>ItemBagFamily = 0x2d42ee0
OK------>ContentTuning = 0x2d430d0
OK------>VolumeFogCondition = 0x2d432c0
OK------>GarrMissionTexture = 0x2d434b0
OK------>SceneScript = 0x2d436a0
OK------>ItemBonus = 0x2d43890
OK------>AreaConditionalData = 0x2d43a80
OK------>CameraMode = 0x2d43c70
OK------>GarrMissionType = 0x2d43e60
OK------>ItemBonusListLevelDelta = 0x2d44050
OK------>TransportAnimation = 0x2d44240
OK------>WbAccessControlList = 0x2d44430
OK------>DurabilityCosts = 0x2d449b0
OK------>Contribution = 0x2d44ba0
OK------>SpellPower = 0x2d44d90
OK------>AreaFarClipOverride = 0x2d44f80
OK------>ItemBonusTreeNode = 0x2d45170
OK------>GarrMissionXEncounter = 0x2d45360
OK------>TransportPhysics = 0x2d45550
OK------>SceneScriptGlobalText = 0x2d45740
OK------>WeaponImpactSounds = 0x2d45930
OK------>DurabilityQuality = 0x2d45b20
OK------>ScreenEffect = 0x2d45d10
OK------>Locale = 0x2d45f00
OK------>AreaGroupMember = 0x2d460f0
OK------>ContributionStyle = 0x2d462e0
OK------>ItemChildEquipment = 0x2d464d0
OK------>GarrMissionXFollower = 0x2d466c0
OK------>Campaign = 0x2d468b0
OK------>AreaPOI = 0x2d46aa0
OK------>ItemClass = 0x2d46c90
OK------>Location = 0x2d46e80
OK------>TransportRotation = 0x2d47070
OK------>GarrMssnBonusAbility = 0x2d47260
OK------>SpellPowerDifficulty = 0x2d47450
OK------>WeaponSwingSounds2 = 0x2d47640
OK------>ContributionStyleContainer = 0x2d47830
OK------>Lock = 0x2d47a20
OK------>CampaignXCondition = 0x2d47c10
OK------>AreaPOIState = 0x2d47e00
OK------>ScreenEffectType = 0x2d47ff0
OK------>Trophy = 0x2d481e0
OK------>ItemContextPickerEntry = 0x2d483d0
OK------>LockType = 0x2d485c0
OK------>WeaponTrail = 0x2d48b40
OK------>GarrBuildingPlotInst = 0x2d48d30
OK------>CampaignXQuestLine = 0x2d48f20
OK------>Emotes = 0x2d49110
OK------>ScreenLocation = 0x2d49300
OK------>AreaTrigger = 0x2d494f0
OK------>UiCamFbackTransmogChrRace = 0x2d496e0
OK------>LookAtController = 0x2d498d0
OK------>ItemCurrencyCost = 0x2d49ac0
OK------>SpellProcsPerMinute = 0x2d49cb0
OK------>CastableRaidBuffs = 0x2d49ea0
OK------>GarrPlotBuilding = 0x2d4a090
OK------>SeamlessSite = 0x2d4a280
OK------>ItemDamageAmmo = 0x2d4a470
OK------>SpellProcsPerMinuteMod = 0x2d4a660
OK------>UiCamFbackTransmogWeapon = 0x2d4a850
OK------>Cfg_Categories = 0x2d4aa40
OK------>EmotesTextData = 0x2d4ac30
OK------>WeaponTrailModelDef = 0x2d4ae20
OK------>GarrPlotInstance = 0x2d4b010
OK------>ServerMessages = 0x2d4b200
OK------>ItemDamageOneHandCaster = 0x2d4b3f0
OK------>EmotesText = 0x2d4b5e0
OK------>SiegeableProperties = 0x2d4b7d0
OK------>GarrPlot = 0x2d4b9c0
OK------>SpellRadius = 0x2d4bbb0
OK------>WeaponTrailParam = 0x2d4bda0
OK------>AreaTriggerActionSet = 0x2d4bf90
OK------>UiCamera = 0x2d4c180
OK------>EmotesTextSound = 0x2d4c370
OK------>ItemDamageOneHand = 0x2d4c560
OK------>KeystoneAffix = 0x2d4c750
OK------>AreaTriggerBox = 0x2d4c940
OK------>SkillLine = 0x2d4cb30
OK------>SpellRange = 0x2d4cd20
OK------>AreaTriggerCreateProperties = 0x2d4cf10
OK------>GarrPlotUICategory = 0x2d4d100
OK------>Cfg_Regions = 0x2d4d2f0
OK------>UiCameraType = 0x2d4d4e0
OK------>ItemDamageTwoHandCaster = 0x2d4d6d0
OK------>MailTemplate = 0x2d4d8c0
OK------>EnvironmentalDamage = 0x2d4dab0
OK------>WMOMinimapTexture = 0x2d4dca0
OK------>ManagedWorldStateBuff = 0x2d4de90
OK------>GarrString = 0x2d4e080
OK------>AreaTriggerCylinder = 0x2d4e270
OK------>SpellReagentsCurrency = 0x2d4e460
OK------>Positioner = 0x2d4e650
OK------>ItemDamageTwoHand = 0x2d4e840
OK------>GarrTalent = 0x2d4ea30
OK------>ExpectedStat = 0x2d4ec20
OK------>SkillLineAbility = 0x2d4ee10
OK------>World_PVP_Area = 0x2d4f000
OK------>ManagedWorldStateInput = 0x2d4f1f0
OK------>AreaTriggerSphere = 0x2d4f3e0
OK------>CharacterLoadout = 0x2d4f5d0
OK------>SpellReagents = 0x2d4f7c0
OK------>UIExpansionDisplayInfo = 0x2d4f9b0
OK------>PositionerState = 0x2d4fba0
OK------>ItemDisenchantLoot = 0x2d4fd90
OK------>ArmorLocation = 0x2d4ff80
OK------>ManagedWorldState = 0x2d50170
OK------>SpellScaling = 0x2d50360
OK------>CharacterLoadoutItem = 0x2d50550
OK------>UIExpansionDisplayInfoIcon = 0x2d50740
OK------>WorldBossLockout = 0x2d50930
OK------>ExpectedStatMod = 0x2d50b20
OK------>CreatureDisplayInfoEvt = 0x2d50d10
OK------>Artifact = 0x2d50f00
OK------>PositionerStateEntry = 0x2d510f0
OK------>WorldChunkSounds = 0x2d512e0
OK------>UiMap = 0x2d514d0
OK------>CharacterServiceInfo = 0x2d516c0
OK------>SkillLineCategory = 0x2d518b0
OK------>SpellShapeshift = 0x2d51aa0
OK------>GarrTalentTree = 0x2d51c90
OK------>PowerDisplay = 0x2d51e80
OK------>CharBaseInfo = 0x2d52070
OK------>ManifestInterfaceActionIcon = 0x2d52260
OK------>SkillRaceClassInfo = 0x2d52450
OK------>Exhaustion = 0x2d52640
OK------>WorldEffect = 0x2d52830
OK------>SpellShapeshiftForm = 0x2d52a20
OK------>CharBaseSection = 0x2d52c10
OK------>PowerType = 0x2d52e00
OK------>ArtifactAppearance = 0x2d52ff0
OK------>GarrType = 0x2d531e0
OK------>ManifestInterfaceItemIcon = 0x2d533d0
OK------>SkySceneXPlayerCondition = 0x2d535c0
OK------>Faction = 0x2d537b0
OK------>WorldElapsedTimer = 0x2d539a0
OK------>ManifestInterfaceTOCData = 0x2d53b90
OK------>SoundOverride = 0x2d53d80
OK------>GarrSiteLevel = 0x2d53f70
OK------>ItemDisplayXUiCamera = 0x2d54160
OK------>MapCelestialBody = 0x2d54350
OK------>SpellSpecialUnitEffect = 0x2d54540
OK------>PrestigeLevelInfo = 0x2d54730
OK------>WorldMapOverlay = 0x2d54920
OK------>ItemEffect = 0x2d54b10
OK------>MapChallengeMode = 0x2d54d00
OK------>SoundProviderPreferences = 0x2d54ef0
OK------>ArtifactAppearanceSet = 0x2d550e0
OK------>SpellTargetRestrictions = 0x2d552d0
OK------>GarrSiteLevelPlotInst = 0x2d554c0
OK------>PVPBracketTypes = 0x2d556b0
OK------>CharHairGeosets = 0x2d558a0
OK------>FactionGroup = 0x2d55a90
OK------>PVPDifficulty = 0x2d55c80
OK------>GarrSpecialization = 0x2d55e70
OK------>ItemExtendedCost = 0x2d56060
OK------>SpellTotems = 0x2d56250
OK------>ArtifactCategory = 0x2d56440
OK------>WorldMapOverlayTile = 0x2d56630
OK------>UiMapFogOfWar = 0x2d56820
OK------>MapDifficulty = 0x2d56a10
OK------>FactionTemplate = 0x2d56c00
OK------>ArtifactPower = 0x2d56df0
OK------>PVPItem = 0x2d56fe0
OK------>GarrUiAnimClassInfo = 0x2d571d0
OK------>CharSectionCondition = 0x2d573c0
OK------>WorldStateExpression = 0x2d575b0
OK------>PvpScalingEffect = 0x2d577a0
OK------>UiMapFogOfWarVisualization = 0x2d57990
OK------>WorldStateUI = 0x2d57b80
OK------>SourceInfo = 0x2d57d70
OK------>SpellVisualColorEffect = 0x2d57f60
OK------>ItemGroupSounds = 0x2d58150
OK------>ArtifactPowerLink = 0x2d58340
OK------>MarketingPromotionsXLocale = 0x2d58530
OK------>FootstepTerrainLookup = 0x2d58720
OK------>CharShipmentContainer = 0x2d58910
OK------>GarrUiAnimRaceInfo = 0x2d58b00
OK------>PvpScalingEffectType = 0x2d58cf0
OK------>UiMapXMapArt = 0x2d58ee0
OK------>SpecializationSpells = 0x2d590d0
OK------>CreatureDisplayInfoTrn = 0x2d592c0
OK------>ItemLevelSelector = 0x2d594b0
OK------>PvpTalent = 0x2d596a0
OK------>ArtifactPowerPicker = 0x2d59890
OK------>FriendshipRepReaction = 0x2d59a80
OK------>UiMapAssignment = 0x2d59c70
OK------>Material = 0x2d59e60
OK------>ItemLevelSelectorQuality = 0x2d5a050
OK------>ArtifactPowerRank = 0x2d5a240
OK------>CreatureDispXUiCamera = 0x2d5a430
OK------>SpecializationSpellsDisplay = 0x2d5a620
OK------>WorldStateZoneSounds = 0x2d5a810
OK------>FriendshipReputation = 0x2d5aa00
OK------>ItemLevelSelectorQualitySet = 0x2d5abf0
OK------>GemProperties = 0x2d5ade0
OK------>PvpTalentCategory = 0x2d5afd0
OK------>MinorTalent = 0x2d5b1c0
OK------>CreatureDifficulty = 0x2d5b3b0
OK------>CharShipment = 0x2d5b5a0
OK------>SpecSetMember = 0x2d5b790
OK------>ArtifactQuestXP = 0x2d5b980
OK------>UiMapGroupMember = 0x2d5bb70
OK------>GameClockDebug = 0x2d5bd60
OK------>ItemLimitCategory = 0x2d5bf50
OK------>PvpTalentSlotUnlock = 0x2d5c140
OK------>ZoneIntroMusicTable = 0x2d5c6c0
OK------>ArtifactTier = 0x2d5c8b0
OK------>MissileTargeting = 0x2d5caa0
OK------>GlyphBindableSpell = 0x2d5cc90
OK------>GameObjectArtKit = 0x2d5ce80
OK------>CreatureFamily = 0x2d5d070
OK------>ItemLimitCategoryCondition = 0x2d5d260
OK------>UiMapLink = 0x2d5d450
OK------>SpellVisualKitAreaModel = 0x2d5d640
OK------>CharStartOutfit = 0x2d5d830
OK------>GlyphExclusiveCategory = 0x2d5da20
OK------>PvpTier = 0x2d5dc10
OK------>ZoneMusic = 0x2d5de00
OK------>GameObjectDiffAnimMap = 0x2d5dff0
OK------>ArtifactUnlock = 0x2d5e1e0
OK------>SpellName = 0x2d5e3d0
OK------>GlyphProperties = 0x2d5e5c0
OK------>SpellActionBarPref = 0x2d5e7b0
OK------>ZoneStory = 0x2d5e9a0
OK------>GameObjectDisplayInfo = 0x2d5eb90
OK------>UiModelScene = 0x2d5ed80
OK------>ModifierTree = 0x2d5ef70
OK------>AuctionHouse = 0x2d5f160
OK------>CreatureImmunities = 0x2d5f350
OK------>CharTitles = 0x2d5f540
OK------>GlyphRequiredSpec = 0x2d5f730
