OK------>curAddr at 0x6F7C20
OK------>CharSectionCondition = 0x328f010
OK------>ManifestInterfaceActionIcon = 0x328f2b0
OK------>ScreenLocation = 0x328f550
OK------>FactionGroup = 0x328f7f0
OK------>AreaGroupMember = 0x328fa90
OK------>TraitCond = 0x328fd30
OK------>UiWidgetVisualization = 0x328ffd0
OK------>GarrSpecialization = 0x3290270
OK------>ItemEffect = 0x3290510
OK------>SpellProcsPerMinute = 0x32907b0
OK------>PowerType = 0x3290a50
OK------>AreaPOI = 0x3290cf0
OK------>CharShipmentContainer = 0x3290f90
OK------>SeamlessSite = 0x3291230
OK------>ManifestInterfaceItemIcon = 0x32914d0
OK------>FactionTemplate = 0x3291770
OK------>UIScriptedAnimationEffect = 0x3291a10
OK------>SpellProcsPerMinuteMod = 0x3291cb0
OK------>GarrUiAnimClassInfo = 0x3291f50
OK------>AreaPOIState = 0x32921f0
OK------>ServerMessages = 0x3292490
OK------>ManifestInterfaceTOCData = 0x3292730
OK------>ItemExtendedCost = 0x32929d0
OK------>SiegeableProperties = 0x3292c70
OK------>MapCelestialBody = 0x3292f10
OK------>SpellRadius = 0x32931b0
OK------>AreaTrigger = 0x3293450
OK------>PrestigeLevelInfo = 0x32936f0
OK------>CreatureDisplayInfoTrn = 0x3293990
OK------>FootstepTerrainLookup = 0x3293c30
OK------>TraitCost = 0x3293ed0
OK------>GarrUiAnimRaceInfo = 0x3294170
OK------>MapChallengeMode = 0x3294410
OK------>CharShipment = 0x32946b0
OK------>SkillLine = 0x3294950
OK------>SpellRange = 0x3294bf0
OK------>PVPBracketTypes = 0x3294e90
OK------>TraitCurrency = 0x3295130
OK------>FriendshipRepReaction = 0x32953d0
OK------>CreatureDispXUiCamera = 0x3295670
OK------>ArenaCcItem = 0x3295910
OK------>ItemGroupSounds = 0x3295bb0
OK------>SpellReagentsCurrency = 0x3295e50
OK------>PVPDifficulty = 0x32960f0
OK------>CreatureDifficulty = 0x3296390
OK------>FriendshipReputation = 0x3296630
OK------>AoiBox = 0x32968d0
OK------>TraitCurrencySource = 0x3296b70
OK------>CharStartOutfit = 0x3296e10
OK------>AreaTriggerActionSet = 0x32970b0
OK------>GemProperties = 0x3297350
OK------>ItemLevelSelector = 0x32975f0
OK------>SkillLineAbility = 0x3297890
OK------>UnitBlood = 0x3297b30
OK------>SpellReagents = 0x3297dd0
OK------>MapDifficulty = 0x3298070
OK------>PVPItem = 0x3298310
OK------>AreaTriggerBox = 0x32985b0
OK------>GameClockDebug = 0x3298850
OK------>AlliedRaceRacialAbility = 0x3298af0
OK------>ItemLevelSelectorQuality = 0x3298d90
OK------>CreatureFamily = 0x3299030
OK------>AreaTriggerCreateProperties = 0x32992d0
OK------>GameObjectArtKit = 0x3299570
OK------>UnitBloodLevels = 0x3299810
OK------>PvpRating = 0x3299ab0
OK------>CharTitles = 0x3299d50
OK------>SpellScaling = 0x3299ff0
OK------>TraitDefinition = 0x329a290
OK------>ItemUpgrade = 0x329a530
OK------>ItemLevelSelectorQualitySet = 0x329a7d0
OK------>GossipNPCOptionDisplayInfo = 0x329aa70
OK------>AreaTriggerCylinder = 0x329ad10
OK------>MarketingPromotionsXLocale = 0x329afb0
OK------>UnitCondition = 0x329b250
OK------>GameObjectDiffAnimMap = 0x329b4f0
OK------>ChatChannels = 0x329b790
OK------>PvpScalingEffect = 0x329ba30
OK------>ItemLimitCategory = 0x329bcd0
OK------>SkillLineCategory = 0x329bf70
OK------>CreatureImmunities = 0x329c210
OK------>SpellShapeshift = 0x329c4b0
OK------>PetLoyalty = 0x329c750
OK------>TraitDefinitionEffectPoints = 0x329c9f0
OK------>AreaTriggerSphere = 0x329cc90
OK------>GossipNPCOption = 0x329cf30
OK------>GameObjectDisplayInfo = 0x329d1d0
OK------>PetPersonality = 0x329d470
OK------>PvpScalingEffectType = 0x329d710
OK------>UnitPowerBar = 0x329d9b0
OK------>SkillRaceClassInfo = 0x329dc50
OK------>ItemLimitCategoryCondition = 0x329def0
OK------>Material = 0x329e190
OK------>ArmorLocation = 0x329e430
OK------>PvpTalent = 0x329e6d0
OK------>SpellShapeshiftForm = 0x329e970
OK------>TraitEdge = 0x329ec10
OK------>GameObjectDisplayInfoXSoundKit = 0x329eeb0
OK------>MinorTalent = 0x329f150
OK------>RulesetItemUpgrade = 0x329f3f0
OK------>SkySceneXPlayerCondition = 0x329f690
OK------>Artifact = 0x329f930
OK------>GameObjects = 0x329fbd0
OK------>ChrClassesXPowerTypes = 0x329fe70
OK------>GlyphBindableSpell = 0x32a0110
OK------>MissileTargeting = 0x32a03b0
OK------>SoundOverride = 0x32a0650
OK------>TraitNode = 0x32a08f0
OK------>PvpTalentCategory = 0x32a0b90
OK------>SpellCraftUI = 0x32a0e30
OK------>ItemModifiedAppearanceExtra = 0x32a10d0
OK------>Vehicle = 0x32a1370
OK------>SpellSpecialUnitEffect = 0x32a1610
OK------>GlyphExclusiveCategory = 0x32a18b0
OK------>ChrClassRaceSex = 0x32a1b50
OK------>PvpTalentSlotUnlock = 0x32a1df0
OK------>StableSlotPrices = 0x32a2090
OK------>GlyphProperties = 0x32a2330
OK------>SoundProviderPreferences = 0x32a25d0
OK------>SpellTargetRestrictions = 0x32a2870
OK------>ArtifactAppearance = 0x32a2b10
OK------>ItemNameDescription = 0x32a2db0
OK------>TraitNodeEntry = 0x32a3050
OK------>PvpTier = 0x32a32f0
OK------>ItemPetFood = 0x32a3590
OK------>GlyphRequiredSpec = 0x32a3830
OK------>ChrClassTitle = 0x32a3ad0
OK------>ModifierTree = 0x32a3d70
OK------>GarrAbilityCategory = 0x32a4010
OK------>ItemPriceBase = 0x32a42b0
OK------>SpellTotems = 0x32a4550
OK------>TraitNodeEntryXTraitCond = 0x32a47f0
OK------>GlyphSlot = 0x32a4a90
OK------>ChrClassUIDisplay = 0x32a4d30
OK------>GarrAbility = 0x32a4fd0
OK------>VehicleSeat = 0x32a5270
OK------>CreatureMovementInfo = 0x32a5510
OK------>ItemRandomProperties = 0x32a57b0
OK------>QuestFactionReward = 0x32a5a50
OK------>GMSurveyAnswers = 0x32a5cf0
OK------>Mount = 0x32a5f90
OK------>ArtifactAppearanceSet = 0x32a6230
OK------>TraitNodeEntryXTraitCost = 0x32a64d0
OK------>ChrClassVillain = 0x32a6770
OK------>CreatureSpellData = 0x32a6a10
OK------>ItemRandomSuffix = 0x32a6cb0
OK------>QuestFeedbackEffect = 0x32a6f50
OK------>GarrAbilityEffect = 0x32a71f0
OK------>GMSurveyCurrentSurvey = 0x32a7490
OK------>SourceInfo = 0x32a7730
OK------>SpellVisualColorEffect = 0x32a79d0
OK------>TraitNodeGroup = 0x32a7c70
OK------>CreatureSoundData = 0x32a7f10
OK------>GMSurveyQuestions = 0x32a81b0
OK------>ItemRangedDisplayInfo = 0x32a8450
OK------>ArtifactCategory = 0x32a86f0
OK------>MountCapability = 0x32a8990
OK------>SpecializationSpells = 0x32a8c30
OK------>GMSurveySurveys = 0x32a8ed0
OK------>QuestInfo = 0x32a9170
OK------>TraitNodeGroupXTraitCond = 0x32a9410
OK------>ArtifactPower = 0x32a96b0
OK------>ItemSet = 0x32a9950
OK------>GroupFinderActivity = 0x32a9bf0
OK------>GarrBuilding = 0x32a9e90
OK------>TraitNodeGroupXTraitCost = 0x32aa130
OK------>SpecializationSpellsDisplay = 0x32aa3d0
OK------>QuestLine = 0x32aa670
OK------>MountTypeXCapability = 0x32aa910
OK------>ItemSetSpell = 0x32aabb0
OK------>QuestLineXQuest = 0x32aae50
OK------>ArtifactPowerLink = 0x32ab0f0
OK------>SpecSetMember = 0x32ab390
OK------>TraitNodeGroupXTraitNode = 0x32ab630
OK------>MountXDisplay = 0x32ab8d0
OK------>ArtifactPowerPicker = 0x32abfb0
OK------>QuestMoneyReward = 0x32ac690
OK------>GroupFinderActivityGrp = 0x32ac930
OK------>Movie = 0x32acbd0
OK------>TraitNodeXTraitCond = 0x32ace70
OK------>ArtifactPowerRank = 0x32ad110
OK------>SpellVisualKitAreaModel = 0x32ad3b0
OK------>QuestPackageItem = 0x32ad650
OK------>GroupFinderCategory = 0x32ad8f0
OK------>GarrBuildingDoodadSet = 0x32adb90
OK------>SpellName = 0x32ade30
OK------>MovieFileData = 0x32ae0d0
OK------>TraitNodeXTraitCost = 0x32ae370
OK------>SpellActionBarPref = 0x32ae610
OK------>ArtifactQuestXP = 0x32ae8b0
OK------>QuestSort = 0x32aeb50
OK------>CreatureSoundFidget = 0x32aedf0
OK------>MovieVariation = 0x32af090
OK------>TraitNodeXTraitNodeEntry = 0x32af330
OK------>GarrClassSpec = 0x32af5d0
OK------>ArtifactTier = 0x32af870
OK------>SpellActivationOverlay = 0x32afb10
OK------>ItemSpec = 0x32afdb0
OK------>QuestV2CliTask = 0x32b0050
OK------>CreatureType = 0x32b02f0
OK------>MultiStateProperties = 0x32b0590
OK------>VehicleUIIndicator = 0x32b0830
OK------>CreatureXContribution = 0x32b0ad0
OK------>TraitSystem = 0x32b0d70
OK------>GarrClassSpecPlayerCond = 0x32b1010
OK------>ArtifactUnlock = 0x32b12b0
OK------>VehicleUIIndSeat = 0x32b1550
OK------>ItemSpecOverride = 0x32b17f0
OK------>SpellAuraOptions = 0x32b1a90
OK------>CreatureXDisplayInfo = 0x32b1d30
OK------>TraitTreeLoadoutEntry = 0x32b1fd0
OK------>ItemSubClass = 0x32b2270
OK------>MultiTransitionProperties = 0x32b2510
OK------>AuctionHouse = 0x32b27b0
OK------>Vignette = 0x32b2a50
OK------>GuildPerkSpells = 0x32b2cf0
OK------>GarrEncounter = 0x32b2f90
OK------>Criteria = 0x32b3230
OK------>SpellAuraRestrictions = 0x32b34d0
OK------>AuctionHouseCategory = 0x32b3770
OK------>MythicPlusSeasonRewardLevels = 0x32b3a10
OK------>QuestV2 = 0x32b3cb0
OK------>TraitTreeLoadout = 0x32b3f50
OK------>GarrEncounterSetXEncounter = 0x32b41f0
OK------>ItemSubClassMask = 0x32b4490
OK------>VocalUISounds = 0x32b4730
OK------>QuestXGroupActivity = 0x32b49d0
OK------>MythicPlusSeasonTrackedMap = 0x32b4c70
OK------>TraitTree = 0x32b4f10
OK------>SpellVisualMissile = 0x32b51b0
OK------>ItemVisuals = 0x32b5450
OK------>GarrEncounterXMechanic = 0x32b56f0
OK------>AzeriteEmpoweredItem = 0x32b5990
OK------>SpellAuraVisibility = 0x32b5c30
OK------>QuestXP = 0x32b5ed0
OK------>NameGen = 0x32b6170
OK------>CriteriaTree = 0x32b6410
OK------>VolumeFogCondition = 0x32b66b0
OK------>GarrFollItemSetMember = 0x32b6950
OK------>AzeriteItem = 0x32b6bf0
OK------>RandPropPoints = 0x32b6e90
OK------>SpellAuraVisXChrSpec = 0x32b7130
OK------>Heirloom = 0x32b73d0
OK------>TraitTreeXTraitCost = 0x32b7670
OK------>WbAccessControlList = 0x32b7910
OK------>CriteriaTreeXEffect = 0x32b7bb0
OK------>AzeriteItemMilestonePower = 0x32b7e50
OK------>GarrFollSupportSpell = 0x32b80f0
OK------>SpellCategories = 0x32b8390
OK------>ItemXBonusTree = 0x32b8630
OK------>RelicSlotTierRequirement = 0x32b88d0
OK------>CurrencyCategory = 0x32b8b70
OK------>TraitTreeXTraitCurrency = 0x32b8e10
OK------>WeaponImpactSounds = 0x32b90b0
OK------>GarrFollower = 0x32b9350
OK------>AzeritePower = 0x32b95f0
OK------>JournalEncounter = 0x32b9890
OK------>CurrencyContainer = 0x32b9b30
OK------>RelicTalent = 0x32b9dd0
OK------>SpellCategory = 0x32ba070
OK------>Trophy = 0x32ba310
OK------>NPCSounds = 0x32ba5b0
OK------>AzeritePowerSetMember = 0x32ba850
OK------>WeaponSwingSounds2 = 0x32baaf0
OK------>SharedString = 0x32bad90
OK------>JournalEncounterCreature = 0x32bb030
OK------>RenownRewards = 0x32bb2d0
OK------>CurrencyTypes = 0x32bb570
OK------>UiCamFbackTransmogChrRace = 0x32bb810
OK------>SpellCastingRequirements = 0x32bbab0
OK------>NumTalentsAtLevel = 0x32bbd50
OK------>Achievement = 0x32bbff0
OK------>WeaponTrail = 0x32bc290
OK------>HighlightColor = 0x32bc530
OK------>AzeriteTierUnlock = 0x32bc7d0
OK------>ChrUpgradeBucket = 0x32bca70
OK------>ObjectEffect = 0x32bcd10
OK------>UiCamFbackTransmogWeapon = 0x32bcfb0
OK------>JournalEncounterItem = 0x32bd250
OK------>SpellCastTimes = 0x32bd4f0
OK------>BannedAddons = 0x32bd790
OK------>DeathThudLookups = 0x32bda30
OK------>Holidays = 0x32bdcd0
OK------>ChrUpgradeBucketSpell = 0x32bdf70
OK------>UiCamera = 0x32be210
OK------>BankBagSlotPrices = 0x32be4b0
OK------>SpellClassOptions = 0x32be750
OK------>GarrFollowerLevelXP = 0x32be9f0
OK------>WeaponTrailModelDef = 0x32bec90
OK------>ObjectEffectModifier = 0x32bef30
OK------>ChrUpgradeTier = 0x32bf1d0
OK------>JournalEncounterSection = 0x32bf470
OK------>Achievement_Category = 0x32bf710
OK------>DecalProperties = 0x32bf9b0
OK------>BarberShopStyle = 0x32bfc50
OK------>ObjectEffectPackageElem = 0x32bfef0
OK------>SpellVisualEvent = 0x32c0190
OK------>WeaponTrailParam = 0x32c0430
OK------>UiCameraType = 0x32c06d0
OK------>SpellCooldowns = 0x32c0970
OK------>GarrFollowerQuality = 0x32c0c10
OK------>CinematicCamera = 0x32c0eb0
OK------>AdventureJournal = 0x32c1150
OK------>OutlineEffect = 0x32c13f0
OK------>HolidayDescriptions = 0x32c1690
OK------>BattlemasterList = 0x32c1930
OK------>CinematicSequences = 0x32c1bd0
OK------>SpellDescriptionVariables = 0x32c1e70
OK------>HolidayNames = 0x32c2110
OK------>SpellXDescriptionVariables = 0x32c23b0
OK------>GarrFollowerSetXFollower = 0x32c2650
OK------>SpellDispelType = 0x32c28f0
OK------>WMOMinimapTexture = 0x32c2b90
OK------>JournalEncounterXDifficulty = 0x32c2e30
OK------>UIExpansionDisplayInfo = 0x32c30d0
OK------>ImportPriceArmor = 0x32c3370
OK------>ClientSceneEffect = 0x32c3610
OK------>OverrideSpellData = 0x32c38b0
OK------>GarrFollowerType = 0x32c3b50
OK------>SpellXSpellVisual = 0x32c3df0
OK------>DeclinedWordCases = 0x32c4090
OK------>JournalEncounterXMapLoc = 0x32c4330
OK------>SpellDuration = 0x32c45d0
OK------>CloneEffect = 0x32c4870
OK------>World_PVP_Area = 0x32c4b10
OK------>PageTextMaterial = 0x32c4db0
OK------>UIExpansionDisplayInfoIcon = 0x32c5050
OK------>ImportPriceQuality = 0x32c52f0
OK------>DeclinedWord = 0x32c5590
OK------>PaperDollItemFrame = 0x32c5830
OK------>BattlePetAbility = 0x32c5ad0
OK------>SpellEffect = 0x32c5d70
OK------>JournalInstance = 0x32c6010
OK------>ImportPriceShield = 0x32c62b0
OK------>AlliedRace = 0x32c6550
OK------>GarrFollowerUICreature = 0x32c67f0
OK------>UIGenericWidgetDisplay = 0x32c6a90
OK------>ResearchBranch = 0x32c6d30
OK------>DestructibleModelData = 0x32c6fd0
OK------>ParagonReputation = 0x32c7270
OK------>CombatCondition = 0x32c7510
OK------>WorldBossLockout = 0x32c77b0
OK------>ImportPriceWeapon = 0x32c7a50
OK------>Stationery = 0x32c7cf0
OK------>BattlePetAbilityEffect = 0x32c7f90
OK------>WorldChunkSounds = 0x32c8230
OK------>ResearchField = 0x32c84d0
OK------>GarrFollowerXAbility = 0x32c8770
OK------>InvasionClientData = 0x32c8a10
OK------>UiMap = 0x32c8cb0
OK------>JournalItemXDifficulty = 0x32c8f50
OK------>AnimaCable = 0x32c91f0
OK------>SummonProperties = 0x32c9490
OK------>ResearchProject = 0x32c9730
OK------>JournalSectionXDifficulty = 0x32c99d0
OK------>GarrItemLevelUpgradeData = 0x32c9c70
OK------>BattlePetAbilityState = 0x32c9f10
OK------>Particulate = 0x32ca1b0
OK------>WorldEffect = 0x32ca450
OK------>CommunityIcon = 0x32ca6f0
OK------>JournalTier = 0x32ca990
OK------>BroadcastText = 0x32cac30
OK------>BattlePetAbilityTurn = 0x32caed0
OK------>Path = 0x32cb170
OK------>JournalTierXInstance = 0x32cb410
OK------>GarrMechanic = 0x32cb6b0
OK------>TactKey = 0x32cb950
OK------>ResearchSite = 0x32cbbf0
OK------>WorldElapsedTimer = 0x32cbe90
OK------>TactKeyLookup = 0x32cc130
OK------>SpellEffectAutoDescription = 0x32cc3d0
OK------>Keychain = 0x32cc670
OK------>GarrMechanicSetXMechanic = 0x32cc910
OK------>TalentTab = 0x32ccbb0
OK------>Resistances = 0x32cce50
OK------>BattlePetBreedQuality = 0x32cd0f0
OK------>WorldMapOverlay = 0x32cd390
OK------>PathNode = 0x32cd630
OK------>Languages = 0x32cd8d0
OK------>CameraEffect = 0x32cdb70
OK------>GarrMechanicType = 0x32cde10
OK------>RewardPack = 0x32ce0b0
OK------>BattlePetBreedState = 0x32ce350
OK------>SpellEffectEmission = 0x32ce5f0
OK------>Talent = 0x32ce890
OK------>PathNodeProperty = 0x32ceb30
OK------>CameraEffectEntry = 0x32cedd0
OK------>LanguageWords = 0x32cf070
OK------>GarrMission = 0x32cf310
OK------>BattlePetDisplayOverride = 0x32cf5b0
OK------>LFGDungeonGroup = 0x32cf850
OK------>AnimaCylinder = 0x32cfaf0
OK------>RewardPackXCurrencyType = 0x32cfd90
OK------>SpellEquippedItems = 0x32d0030
OK------>WorldMapOverlayTile = 0x32d02d0
OK------>PathProperty = 0x32d0570
OK------>BattlePetEffectProperties = 0x32d0810
OK------>UiMapFogOfWar = 0x32d0ab0
OK------>ItemAppearanceXUiCamera = 0x32d0d50
OK------>RewardPackXItem = 0x32d0ff0
OK------>LFGDungeons = 0x32d1290
OK------>SpellFlyout = 0x32d1530
OK------>WorldStateExpression = 0x32d17d0
OK------>Phase = 0x32d1a70
OK------>TaxiNodes = 0x32d1d10
OK------>AnimaMaterial = 0x32d1fb0
OK------>BattlePetNPCTeamMember = 0x32d2250
OK------>ItemArmorQuality = 0x32d24f0
OK------>ScheduledInterval = 0x32d2790
OK------>UiMapFogOfWarVisualization = 0x32d2a30
OK------>WorldStateUI = 0x32d2cd0
OK------>CameraMode = 0x32d2f70
OK------>BattlePetSpecies = 0x32d3210
OK------>PhaseShiftZoneSounds = 0x32d34b0
OK------>SpellFlyoutItem = 0x32d3750
OK------>ContentTuning = 0x32d39f0
OK------>DungeonEncounter = 0x32d3c90
OK------>ItemArmorShield = 0x32d3f30
OK------>UiMapXMapArt = 0x32d41d0
OK------>SpellFocusObject = 0x32d4470
OK------>SoundAmbienceFlavor = 0x32d4710
OK------>GarrMissionTexture = 0x32d49b0
OK------>ItemArmorTotal = 0x32d4c50
OK------>SpellInterrupts = 0x32d4ef0
OK------>UiMapAssignment = 0x32d5190
OK------>Contribution = 0x32d5430
OK------>DurabilityCosts = 0x32d56d0
OK------>GarrMissionType = 0x32d5970
OK------>SoundAmbience = 0x32d5c10
OK------>BattlePetSpeciesState = 0x32d5eb0
OK------>Campaign = 0x32d6150
OK------>WorldStateZoneSounds = 0x32d63f0
OK------>PhaseXPhaseGroup = 0x32d6690
OK------>ItemBagFamily = 0x32d6930
OK------>GarrMissionXEncounter = 0x32d6bd0
OK------>SpellItemEnchantment = 0x32d6e70
OK------>DurabilityQuality = 0x32d7110
OK------>BattlePetSpeciesXAbility = 0x32d73b0
OK------>ItemBonus = 0x32d7650
OK------>ContributionStyle = 0x32d78f0
OK------>UiMapGroupMember = 0x32d7b90
OK------>CampaignXCondition = 0x32d7e30
OK------>ItemBonusListLevelDelta = 0x32d80d0
OK------>SpamMessages = 0x32d8370
OK------>SpellItemEnchantmentCondition = 0x32d8610
OK------>ZoneIntroMusicTable = 0x32d88b0
OK------>GarrMissionXFollower = 0x32d8b50
OK------>BattlePetState = 0x32d8df0
OK------>ScalingStatDistribution = 0x32d9090
OK------>LfgDungeonsGroupingMap = 0x32d9330
OK------>AnimKitBoneSet = 0x32d95d0
OK------>CampaignXQuestLine = 0x32d9870
OK------>ItemBonusTreeNode = 0x32d9b10
OK------>TerrainTypeSounds = 0x32d9db0
OK------>ContributionStyleContainer = 0x32da050
OK------>UiMapLink = 0x32da2f0
OK------>GarrMssnBonusAbility = 0x32da590
OK------>ZoneMusic = 0x32da830
OK------>LFGRoleRequirement = 0x32daad0
OK------>BattlePetVisual = 0x32dad70
OK------>CastableRaidBuffs = 0x32db450
OK------>AnimKitBoneSetAlias = 0x32db6f0
OK------>SpellKeyboundOverride = 0x32db990
OK------>ItemChildEquipment = 0x32dbc30
OK------>ScalingStatValues = 0x32dbed0
OK------>Emotes = 0x32dc170
OK------>TierTransition = 0x32dc410
OK------>Cfg_Categories = 0x32dc6b0
OK------>ZoneStory = 0x32dc950
OK------>GarrBuildingPlotInst = 0x32dcbf0
OK------>UiModelScene = 0x32dce90
OK------>AnimKitConfig = 0x32dd130
OK------>ItemClass = 0x32dd3d0
OK------>SpellLabel = 0x32dd670
OK------>AnimKitConfigBoneSet = 0x32dd910
OK------>UiModelSceneActor = 0x32ddbb0
OK------>TotemCategory = 0x32dde50
OK------>SpellLearnSpell = 0x32de0f0
OK------>GarrPlotBuilding = 0x32de390
OK------>ItemContextPickerEntry = 0x32de630
OK------>EmotesTextData = 0x32de8d0
OK------>AnimKitPriority = 0x32deb70
OK------>Toy = 0x32dee10
OK------>GarrPlotInstance = 0x32df0b0
OK------>Locale = 0x32df350
OK------>SpellLevels = 0x32df5f0
OK------>QuestObjective = 0x32df890
OK------>EmotesText = 0x32dfb30
OK------>Cfg_Regions = 0x32dfdd0
OK------>BonusRoll = 0x32e0070
OK------>AnimKit = 0x32e0310
OK------>UiModelSceneActorDisplay = 0x32e05b0
OK------>ItemCurrencyCost = 0x32e0850
OK------>GarrPlot = 0x32e0af0
OK------>EmotesTextSound = 0x32e0d90
OK------>Scenario = 0x32e1030
OK------>TradeSkillCategory = 0x32e12d0
OK------>Location = 0x32e1570
OK------>ItemDamageAmmo = 0x32e1810
OK------>AnimKitReplacement = 0x32e1ab0
OK------>Bounty = 0x32e1d50
OK------>SpellMechanic = 0x32e1ff0
OK------>Lock = 0x32e2290
OK------>SpellMisc = 0x32e2530
OK------>UiModelSceneCamera = 0x32e27d0
OK------>CharacterLoadout = 0x32e2a70
OK------>EnvironmentalDamage = 0x32e2d10
OK------>ScenarioEventEntry = 0x32e2fb0
OK------>ItemDamageOneHandCaster = 0x32e3250
OK------>GarrPlotUICategory = 0x32e34f0
